"","DMSO1","DMSO2","DMSO3","AMLE1","AMLE2","AMLE3"
"0610005C13Rik",8,8,11,14,17,8
"0610007P14Rik",1039,992,1114,882,1137,932
"0610009B22Rik",334,261,318,230,336,283
"0610009L18Rik",16,34,25,29,37,27
"0610009O20Rik",687,583,623,469,582,494
"0610010B08Rik",0,0,0,0,0,0
"0610010F05Rik",894,873,1045,630,877,772
"0610010K14Rik",943,907,914,705,898,627
"0610011F06Rik",372,361,303,266,370,238
"0610012G03Rik",932,916,883,833,961,831
"0610030E20Rik",2315,2118,1963,1825,2500,1850
"0610031O16Rik",0,0,0,0,0,0
"0610037L13Rik",556,589,571,499,683,452
"0610038B21Rik",8,14,7,10,8,15
"0610039H22Rik",1,1,0,0,0,0
"0610039K10Rik",10,2,6,10,9,7
"0610040B10Rik",15,16,21,20,34,24
"0610040F04Rik",4,9,0,10,16,10
"0610040J01Rik",23,25,29,5,10,14
"0610043K17Rik",5,2,4,4,5,4
"1010001N08Rik",0,0,0,0,0,0
"1110001J03Rik",270,281,244,155,180,138
"1110002L01Rik",53,51,47,58,84,47
"1110004E09Rik",331,289,274,139,162,107
"1110004F10Rik",2514,2349,2395,1941,2571,1979
"1110006O24Rik",25,21,26,28,37,17
"1110007C09Rik",3603,3360,2962,3005,3380,2986
"1110008F13Rik",1039,900,855,714,922,783
"1110008L16Rik",240,229,246,168,221,202
"1110008P14Rik",1043,1015,977,928,997,890
"1110012L19Rik",357,328,362,280,418,312
"1110015O18Rik",0,0,0,0,0,0
"1110017D15Rik",0,4,2,2,2,1
"1110019D14Rik",74,54,52,37,54,57
"1110020A21Rik",2,9,6,6,9,5
"1110025L11Rik",0,0,0,0,0,0
"1110028F11Rik",3,8,3,10,13,4
"1110028F18Rik",0,0,0,0,0,0
"1110032A03Rik",198,178,201,189,302,237
"1110032F04Rik",13,15,26,71,95,65
"1110034G24Rik",107,95,126,121,152,117
"1110036E04Rik",0,0,0,0,0,0
"1110037F02Rik",3004,2604,2670,2190,3108,2220
"1110038B12Rik",858,811,675,570,630,513
"1110038F14Rik",869,773,821,735,872,696
"1110046J04Rik",5,5,4,11,13,5
"1110051M20Rik",190,170,187,249,393,207
"1110058D11Rik",0,0,0,0,1,1
"1110059E24Rik",541,432,434,336,481,322
"1110059G10Rik",401,388,474,319,471,381
"1110065P20Rik",117,89,116,96,134,105
"1190002F15Rik",156,123,147,62,69,82
"1190002N15Rik",249,249,260,157,205,179
"1190003K10Rik",0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0
"1190007I07Rik",122,110,103,116,133,87
"1200014J11Rik",1642,1518,1610,1219,1511,1222
"1300002E11Rik",187,178,139,221,350,192
"1300017J02Rik",2,0,2,1,0,1
"1500004A13Rik",100,85,136,90,145,102
"1500009C09Rik",0,0,0,0,0,0
"1500009L16Rik",4,3,3,4,6,4
"1500011B03Rik",320,287,262,337,496,314
"1500011K16Rik",429,378,448,378,442,421
"1500012F01Rik",827,723,737,1259,1561,873
"1500012K07Rik",0,1,0,2,1,0
"1500015A07Rik",67,75,65,78,100,52
"1500015L24Rik",0,0,0,0,0,0
"1500015O10Rik",7,4,1,2,3,5
"1500017E21Rik",0,1,0,0,0,1
"1500026H17Rik",4,2,3,3,2,0
"1600002D24Rik",3,1,2,2,2,0
"1600002H07Rik",360,306,326,198,267,196
"1600002K03Rik",203,176,192,185,254,163
"1600010M07Rik",126,98,96,84,120,79
"1600012H06Rik",1087,1032,1073,938,1104,1008
"1600014C10Rik",4377,3798,3435,3981,4846,3672
"1600014C23Rik",0,0,3,0,0,2
"1600014K23Rik",0,0,0,0,0,0
"1600015I10Rik",0,1,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0
"1600020E01Rik",121,105,123,117,180,128
"1600023N17Rik",1,0,2,2,2,2
"1600025M17Rik",0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0
"1600029I14Rik",0,2,4,3,1,8
"1600029O15Rik",1,1,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0
